"State","GENERATION"
"AK",22091.001
"AZ",249310.003
"CA",164608692.21
"CO",13214034.787
"DE",2556
"FL",89910
"HI",2821537.903
"IA",30326223.163
"ID",1536857.998
"IL",10780563.907
"IN",4571408.86
"KS",11726744.11
"MA",29089.39
"MD",1494
"ME",1028513
"MI",813340.767
"MN",22079214.374
"MO",1628180
"MT",3276041.042
"NC",17704.31
"ND",10240883.699
"NE",1677813.011
"NH",148484
"NJ",125318.82
"NM",9170122
"NV",12899557.083
"NY",7874345.931
"OH",95114
"OK",13882493.001
"OR",14316230.254
"PA",5260508.678
"RI",3124
"SD",3635898.69
"TN",262122
"TX",90590291.268
"UT",2518651.121
"VA",0
"VT",113099
"WA",17052146.041
"WI",3282606.999
"WV",2908734
"WY",10086212.624
